Date,Year,ISO_code,Title,Summary,Video
,2008,KE,The Situation in Kenya,"The situation in the Republic of Kenya involves mass violence that occurred after the country's contested 2007-2008 election. After much controversy, the Electoral Commission of Kenya officially declared that the incumbent President Mwai Kibaki was re-elected.",
,2010,CI,The Situation in Côte d'Ivoire,"The situation in the Republic of Côte d'Ivoire involves violence resulting from contested presidential elections in 2010, as well as a decade of tension over the leadership of Côte d'Ivoire.",
,2011,LY,The Situation in Libya,The situation in the Libyan Arab Jamahiriya (Libya) involves mass violence that occurred throughout Libya’s six month popular uprising in 2011,
2011-03-08,,KE,The Prosecutor v. William Samoei Ruto and Joshua Arap Sang,Summonses to appear issued  ![](/assets/img/ruto-sang.jpg),
2011-11-23,,CI,The Prosecutor v. Laurent Gbagbo,"Warrant of arrest: Issued under seal 23 November 2011, Unsealed on 30 November 2011",QYE6xvsqe_w
2011-11-23,,CI,The Prosecutor v. Simone Gbagbo,"Warrant of arrest Issued under seal on 29 February 2012,  Unsealed on 22 November 2012",
2012-01-23,,KE,The Prosecutor v. William Samoei Ruto and Joshua Arap Sang,Decision on the confirmation of charges,
2013-09-10,,KE,The Prosecutor v. William Samoei Ruto and Joshua Arap Sang,Opening of trial,
