2013-03-18,,KE,Pre-trial,Prosecutor v. Kenyatta,Proceedings against Muthaura terminated,
2014-12-05,,KE,Pre-trial,Prosecutor v. Kenyatta,Charges against Kenyatta [withdrawn](http://www.icc-cpi.int/iccdocs/doc/doc1879204.pdf),s3HORJn15Mg
7/11/2007,,UG,Pre-trial,Prosecutor v. Kony et. al.,Proceedings against Raska Lukwiya [terminated](http://www.haguejusticeportal.net/index.php?id=8197) following his death,
2011-11-30,,CI,Pre-trial,Prosecutor v. Laurent Gbagbo,Laurent Gbagbo transferred to ICC custody,
2011-12-05,,CI,Pre-trial,Prosecutor v. Laurent Gbagbo,Initial appearance,
2014-06-12,,CI,Pre-trial,Prosecutor v. Laurent Gbagbo,Decision on the confirmation of charges (confirmed),
2015-07-07,,CI,Trial,Prosecutor v. Laurent Gbagbo,Opening of trial scheduled,
3/16/2006,,CD,Pre-trial,Prosecutor v. Lubanga,Lubanga transferred to ICC custody,
1/29/2007,,CD,Pre-trial,Prosecutor v. Lubanga,[Decision](http://www.iccnow.org/documents/SummaryLubangaHearing06Nov9-17.pdf) on the confirmation of charges (confirmed),
1/26/2009,,CD,Trial,Prosecutor v. Lubanga,Opening of trial,
3/14/2012,,CD,Trial,Prosecutor v. Lubanga,Judgment issued (guilty of concripting and enlisting children under the age of 15 and using them to participate actively in hostilities as war crimes),
7/10/2012,,CD,Trial,Prosecutor v. Lubanga,Sentenced (to 14 years imprisonment),
12/1/2014,,CD,Post-trial,Prosecutor v. Lubanga,Appeal judgment issued (conviction and sentence confirmed),
1/25/2011,,CD,Pre-trial,Prosecutor v. Mbarushimana,Mbarushimana transferred to ICC custody,
12/16/2011,,CD,Pre-trial,Prosecutor v. Mbarushimana,Decision on the confirmation of charges (not confirmed),
7/13/2012,,CD,Pre-trial,Prosecutor v. Ntaganda,"Second warrant of arrest issued (amending to include charges of crimes against humanity and additional charges of war crimes)
",
3/22/2013,,CD,Pre-trial,Prosecutor v. Ntaganda,Ntaganda [voluntarily surrendered](http://www.thehindu.com/news/international/world/congolese-warlord-bosco-ntaganda-transferred-to-icc-custody/article4538367.ece) to ICC custody,
6/9/2014,,CD,Pre-trial,Prosecutor v. Ntaganda,Decision on the confirmation of charges (confirmed),
6/2/2015,,CD,Trial,Prosecutor v. Ntaganda,Opening of trial scheduled,
2011-04-07,,KE,Pre-trial,Prosecutor v. Ruto and Sang,Initial appearance,
2012-01-23,,KE,Pre-trial,Prosecutor v. Ruto and Sang,"[Decision on the confirmation of charges (confirmed against Ruto and Sang, not confirmed against Henry Kiprono Kosgey)](http://www.icc-cpi.int/iccdocs/doc/doc1314535.pdf)",
2013-09-10,,KE,Trial,Prosecutor v. Ruto and Sang,Opening of trial,
2013-05-31,,LY,Pre-trial,Prosecutor v. S. Gadaffi and Senussi,"Decision on the admissibility of case against S. Gadaffi (held admissible, confirmed on appeal 21 May 2014)",
2013-10-11,,LY,Pre-trial,Prosecutor v. S. Gadaffi and Senussi,"Decision on the admissibility of case against Senussi (held inadmissible, confirmed on appeal 24 July 2014)",
8/27/2009,,SD,Pre-trial,The Prosecutor v. Abdallah Banda Abakaer Nourain (Prosecutor v. Banda),Summonses to appear issued under seal (unsealed 15 June 2010),
3/1/2012,,SD,Pre-trial,The Prosecutor v. Abdel Raheem Muhammad Hussein (Prosecutor v. Hussein),Warrant of arrest issued,
4/27/2007,,SD,Pre-trial,The Prosecutor v. Ahmad Muhammad Harun “Ahmad Harun” and Ali Muhammad Ali Abd-Al-Rahman “Ali Kushayb” (Prosecutor v. Harun and Kushayb),[Warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc279813.pdf) issued,
5/7/2009,,SD,Pre-trial,The Prosecutor v. Bahr Idriss Abu Garda (Prosecutor v. Abu Garda),[Summons to appear](http://www.worldcourts.com/icc/eng/decisions/2009.05.07_Prosecutor_v_Abu_Garda2.pdf) issued under seal (unsealed 17 May 2009),
8/22/2006,,CD,Pre-trial,The Prosecutor v. Bosco Ntaganda (Prosecutor v. Ntaganda),[Warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc305330.PDF) issued under seal (unsealed 28 April 2008),
9/28/2010,,CD,Pre-trial,The Prosecutor v. Callixte Mbarushimana (Prosecutor v. Mbarushimana),[Warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc954979.pdf) issued under seal (11 October 2010),
2011-12-21,,CI,Pre-trial,The Prosecutor v. Charles Blé Goudé (Prosecutor v. Blé Goudé),Warrant of arrest issued under seal (unsealed 30 September 2013),
7/2/2007,,CD,Pre-trial,The Prosecutor v. Germain Katanga (Prosecutor v. Katanga),[Warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc349648.PDF) issued under seal (unsealed 18 October 2007),
5/23/2008,,CF,Pre-trial,The Prosecutor v. Jean-Pierre Bemba Gombo (Prosecutor v. Bemba),[Warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc504390.PDF) issued under seal (unsealed 24 May 2008),
11/20/2013,,CF,Pre-trial,"The Prosecutor v. Jean-Pierre Bemba Gombo, Aimé Kilolo Musamba, Jean-Jacques Mangenda Kabongo, Fidèle Babala Wandu and Narcisse Arido (Prosecutor v. Bemba and Kilolo, et. al.)",Warrant of arrest issued under seal (unsealed 28 November 2013),
7/8/2005,,UG,Pre-trial,"The Prosecutor v. Joseph Kony, Vincent Otti, Okot Odihambo and Dominic Ongwen (Prosecutor v. Kony et. al.)",[Warrant of arrest] (http://www.icc-cpi.int/iccdocs/doc/doc97185.pdf) issued under seal (unsealed 13 October 2005),
2011-11-23,,CI,Pre-trial,The Prosecutor v. Laurent Gbagbo,[Warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc1276751.pdf) issued under seal (unsealed 30 November 2011),
7/6/2007,,CD,Pre-trial,The Prosecutor v. Mathieu Ngudjolo Chui​ (Prosecutor v. Chui),[Warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc453054.PDF) issued under seal (7 February 2008),
2011-06-27,,LY,Pre-trial,The Prosecutor v. Muammar Mohammed Abu Minyar Gaddafi (Prosecutor v. Gaddafi),Warrant of arrest issued,
3/4/2009,,SD,Pre-trial,The Prosecutor v. Omar Hassan Ahmad Al Bashir (Prosecutor v. Al Bashir),"[Warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc639078.pdf) issued
",
2011-06-27,,LY,Pre-trial,The Prosecutor v. Saif Al-Islam Gaddafi and Abdullah Al-Senussi (Prosecutor vs. S. Gadaffi and Senussi),Warrant of arrest issued,
2011-11-23,,CI,Pre-trial,The Prosecutor v. Simone Gbagbo,Warrant of arrest issued under seal (unsealed 22 November 2012),
7/13/2012,,CD,Pre-trial,The Prosecutor v. Sylvestre Mudacumura (Prosecutor v. Mudacumura),Warrant of arrest issued,
2/10/2006,,CD,Pre-trial,The Prosecutor v. Thomas Lubanga Dyilo (Prosecutor v. Lubanga),[Warrant of arrest](http://www.icc-cpi.int/iccdocs/doc/doc191959.PDF) issued under seal (unsealed 17 March 2006),
2011-03-08,,KE,Pre-trial,The Prosecutor v. Uhuru Muigai Kenyatta (Prosecutor vs. Kenyatta),[Summonses to appear](http://www.bbc.com/news/world-africa-29288981) issued,
2012-08-02,,KE,Pre-trial,The Prosecutor v. Walter Osapiri Barasa,Warrant of arrest issued under seal (unsealed 2 October 2013),
2011-03-08,,KE,Pre-trial,The Prosecutor v. William Samoei Ruto and Joshua Arap Sang (Prosecutor vs. Ruto and Sang),Summonses to appear issued  ![](/assets/img/ruto-sang.jpg),
